ID;Photo;Name;Reference;Category;Base price;Final price;Quantity;Status;
2187;http://172.16.220.164/bookstore/img/p/0.jpg;CUADERNO DE LISA, TOMAS Y SUS AMIGOS 3 - 2DO. TRIMESTRE;9789945117608;Grade-3;500.000000;438.75;10;1;
647;http://172.16.220.164/bookstore/img/p/0.jpg;MATEMATICA NO. 2 (PENA GERALDINO);9789945122046;Grade-0;1500.000000;1687.5;10;1;
2190;http://172.16.220.164/bookstore/img/p/0.jpg;CUADERNO DE LISA, TOMAS Y SUS AMIGOS 4 - 2DO. TRIMESTRE;9789945117639;Grade-4;500.000000;438.75;10;1;
2254;http://172.16.220.164/bookstore/img/p/0.jpg;CALIGRAFIA 3 SERIE INNOVA;9789945117486;Grade-3;490.000000;429.98;0;1;
2315;http://172.16.220.164/bookstore/img/p/0.jpg;KIT INFORMATICA 1 TODOS JUNTOS;9789945118636;Grade-1;605.000000;530.89;0;1;
2376;http://172.16.220.164/bookstore/img/p/0.jpg;CUAD. DE MATEMATICAS 1 (1ER. BACH. ) SERIE CORAL;9789945114393;Grade-9;395.000000;346.61;0;1;
2440;http://172.16.220.164/bookstore/img/p/0.jpg;EDUCACION SEXUAL 2DO. BACH.  (SERIE CORAL);9789945115710;Grade-10;680.000000;596.7;0;1;
422;http://172.16.220.164/bookstore/img/p/0.jpg;EDUCACION PARA LA CIUDADANIA NO. 6;9789945121353;Grade-0;1500.000000;1687.5;10;1;
295;http://172.16.220.164/bookstore/img/p/0.jpg;BUSCANDO A JESUS NO. 1;9789945122176;Grade-0;1500.000000;1687.5;10;1;
555;http://172.16.220.164/bookstore/img/p/0.jpg;LA CABANA DEL TIO TOM;9789945122091;Grade-0;1500.000000;1687.5;10;1;
743;http://172.16.220.164/bookstore/img/p/0.jpg;PARNASO DOMINICANO;9789945122008;Grade-0;1500.000000;1687.5;10;1;
365;http://172.16.220.164/bookstore/img/p/0.jpg;CUENTOS LATINOAMERICANOS;7467634945528;Grade-0;1500.000000;1687.5;10;1;
2222;http://172.16.220.164/bookstore/img/p/0.jpg;CUADERNO DE GUPI 3 - 1ER. TRIMESTRE;9789945113051;Grade-3;415.000000;364.16;0;1;
2347;http://172.16.220.164/bookstore/img/p/0.jpg;CALIGRAFIA ORTOGRAFIA 5 INTEGRAL;9788482619217;Grade-5;275.000000;241.31;0;1;
2408;http://172.16.220.164/bookstore/img/p/0.jpg;QUIMICA 3 (4TO BACH)  SERIE INNOVA;9789945118544;Grade-9;940.000000;824.85;0;1;
486;http://172.16.220.164/bookstore/img/p/0.jpg;ESTUDIOS SOCIALES NO. 8 (SERIE QUISQUEYA);9789945122985;Grade-0;1500.000000;1687.5;10;1;
327;http://172.16.220.164/bookstore/img/p/0.jpg;CARLITOS EMPIEZA EL APRESTAMIENTO;9789945122701;Grade-0;1500.000000;1687.5;10;1;
330;http://172.16.220.164/bookstore/img/p/0.jpg;CIENCIAS NATURALES NO. 3 SERIE QUISQUEYA;9789945122213;Grade-0;1500.000000;1687.5;10;1;
657;http://172.16.220.164/bookstore/img/p/0.jpg;MI CALIGRAFIA NACHO NO. 0;9789945122725;Grade-0;1500.000000;1687.5;10;1;
2193;http://172.16.220.164/bookstore/img/p/0.jpg;CUADERNO DE LISA, TOMAS Y SUS AMIGOS 5 - 2DO.TRIMESTRE;9789945117660;Grade-5;500.000000;438.75;10;1;
2318;http://172.16.220.164/bookstore/img/p/0.jpg;KIT  INFORMATICA 1 SERIE CORAL & CD;9789945115383;Grade-1;605.000000;530.89;0;1;
2379;http://172.16.220.164/bookstore/img/p/0.jpg;CUAD. DE MATEMATICAS 4 (4TO. BACH.) SERIE CORAL;9789945114423;Grade-12;395.000000;346.61;0;1;
