id;Active (0/1);Name*;Categories (x,y,z,...);Price tax excluded;Wholesale price;EAN13;Weight;Quantity;Short description;Description;Available for order (0 = No, 1 = Yes);Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z,...);ID / Name of shop
;1;Quantitative Aptitude;;34.95;34.95;9788121924986;110;10;Quantitative Aptitude is a book that's popular among every student who's registered for competitive ...;Quantitative Aptitude is a book that's popular among every student who's registered for competitive ...;1;;1;http://ecx.images-amazon.com/images/I/51rp2vq5deL.jpg;Fedena School
;1;A Modern Approach to Verbal Reasoning;;;;9788121905527;0;10;...;...;1;;1;http://ecx.images-amazon.com/images/I/51VC8YtmwaL.jpg;Fedena School
